Name,Rating,Review,Comment
SHARUKH SHANAWAZ,4,Very Good,Superb quality 👌🏻👌🏻👌🏻
Flipkart Customer,4,Good choice,Not good for ears comfortable level zero
Newton  Pulapakura ,5,Highly recommended,Dope buds🔥🔥 must buy. Great value for money. You'll love it 😎
Flipkart Customer,5,Mind-blowing purchase,Best quality & Rate
Alok Sharma,5,Fabulous!,Awesome buds
Vimal suttu V r,4,Worth the money,Its worth for money.. Its sound quality is better than 131 Noise buds..batery backup is excellent.. I have used it one week
Mahadev Rao,4,Wonderful,Super product ..
Pradeep kumar  Yadav,5,Terrific purchase,Better product
Yeturu Gopichand ,3,Nice,Battery  backup is below average and sound quality average but this it is ok
Charanjit Kaur,5,Terrific,"super sound quality with qualitive bass and its design is very unique, thanks noise for make best product in budget, if anyone looking best product in budget go for it"
Waseeb Ahmed,5,Awesome,"I received today sound quality superb,call quality very good,while riding bike in slow averge speed 15kms other person will hear you if you go fast other person difficult to hear you,inhabe used boat and other brands connectivity is just superb I kept phone in one place walked more than 70feet IT was still connected and I was having good call quality,battery is very good for calling I have not tested for videos or songs,I was continues on call of 3hrs only 20%battery was down,I dropped the po..."
Sahil Deogade,1,Don't waste your money,"Got a defective product. Touch is not working on both the earbuds. Build quality is also bad, earbuds fitting seems loose, uneven gaps between the parts of earbuds👎Talking about sound quality, bass overpowers the vocals and gives too much bass instead of well balanced sound. This product is only for those who prefer more bass over vocals."
Raghav,4,Good quality product,Amazing colours and sound quality is very high and sensor are as they as work fine
Razaul Mustafa,5,Brilliant,Working good After using 15days
Ritvik Yadav,4,Pretty good,Nice
Debendra Padhan,5,Must buy!,Most wonderful products thank you flipkart
Renjith V Anand,5,Super!,Nice product iam very happy thank you flipkart ❤️
Flipkart Customer,5,Terrific purchase,Nice Product with awesome sound quality and eye catching design. For Bluetooth connectivity it is quite stable and Fit is very nice.
Pratik  Kapsime,1,Absolute rubbish!,"After 4-5 days of normal use, left one touch control is not working, but right touch control is working fine. Did accept this type of product from noise. While purchasing in review i found 3-4 similar problem which i faced. But that was less as compared to good reviews that why i ordered this but I regrate on my decision, I want replacement/refund for my product."
Danish Faraaz,4,Really Nice,Excellent product..worth for money.
Mohammed Raiyan,5,Perfect product!,Don't trust me...Buy and experience the the the best buds eva at this price... I sware to God ... Nothing better than this ... I neva remove it from ma ears all day long... It's just fab... No ear ache problem...
abhishek saini,1,Not recommended at all,Base quality us good but sound quality is poor
Flipkart Customer,1,Horrible,Best products
Mukesh Chaudhary,5,Perfect product!,I used in 4 days in everytime. I really review in one line this noise eyerbud are so so perfect so nice. 🥰😌This eyerbud bass are so colored greatfull. 😍
Flipkart Customer,4,Wonderful,Best product bass 7 out of 10 Velu for many
Roshan Lohar,1,Horrible,Right side buds is not working what can I do...
Flipkart Customer,1,Hated it!,"After 12 days of working ,right side bud stops working because of charging issue, I resend the product for warranty claim based on purchase evidence, its been more than two weeks yet no response from noise team."
Vijay Saxena,4,Delightful,Bast
Anirban Basak,5,Great product,"I ordered so many tws like boat airdope 402, defy zen, mivi duo, dizo but I returned all. Last I brougt this tws. Experience just mind blowing fully satisfied with tws."
Praduman Sahani,1,Hated it!,Mic quality is not good and return poliy is very bad
Rajesh P,1,Waste of money!,"Touch controls not good ,when call comes the person on other side can not hear us,very bad voice breaking,music breaking, only the one thing is good battery backup excellent"
Anandhu Vijayan,5,Perfect product!,Super 👌
Livingstone James,5,Best in the market!,Excellent quality at this rate.
Lucky SS,4,Delightful,"Build quality super,Battery backup ... Superb ... 👌Sound quality awesome,Calling too bad. Worst experience . Total  good product on this price, value of money 💰.. nice"
Yogesh Jaspal,5,Awesome,It's amazing feeling having on launch. Received very next day of booked. Sound quality is awesome. Beautiful in looksPerfect in this price bracket..
Madhu M,4,Very Good,Better one
Ketan Mangela,5,Fabulous!,"Honest review,Osum product, value for money 🔥"
Sunny Kumar,4,Worth the money,Review after 6 months. I bought it 799 in big billion days😂 battery backup too good.voice quality also too good and it's bass quality average.
Flipkart Customer,5,Best in the market!,Amezing product 🫶
Sushant Biswal,4,Value-for-money,This product is good . Sound quality and build quality is nic.Over all product is value for money 👍
Anita Bhattacharya,5,Perfect product!,Fabulous 😍🤩 very nice high sound Bess volume thank you Flipkart
Rasmiranjan Mohapatra,4,Delightful,Good product...🥰🥰Bass quality super and sound quality balance so beautiful... Overally value for money..
Flipkart Customer,5,Classy product,Same as exactly as shown in Flipkart. ❤
Uday kr sah sah,5,Perfect product!,😊Sound quality is awesome but bass is!! Good that's ok noise I will give you 5 stars 🤩
Chaitany Panpatte,5,Awesome,Sound quality are number one and battery bakeup are best
raj kale,5,Great product,Before buying  this product iam using boat AirPods 131 pro but i like noise buds just for voice call quality is more good than boat  i like it
weena  chabin,3,Nice,Sound and looks are all good but the design of the structure is not setting well with me can't use it for long when m laying down side way... It hurts my ears or else everything is good
Abhi,5,Nice product,Nice product.... 🥰
Nitin  Saroj,3,Just okay,Earbuds is good but case is not good the Dibbi's Head Cap is too loose box build quality is bad
SHAIKH ZAKKI QUADRI,3,Nice,Just like okay
Mayank Patil,5,Highly recommended,Very  useful product  this price  and my  best product experience 1 year  amazing products ✌✌👌👌👌❤❤
Hafizur Rahman,4,Worth the money,Awesome product in middle price
Satwik Gupta,4,Pretty good,Best sound quality and battery backupBass is damekedar
Aashi Prasad,4,Worth the money,I loved itThe colour and the design both are prettyGreat at this price Great while traveling I have to travel every day so this keeps me company ❤️
Shivam Yadav,5,Must buy!,Good product noise
Flipkart Customer,4,Really Nice,Great airpuds for this price.
Meghraj Giri,1,Hated it!,One side not working
Md Imtiyaz  Ansari,5,Mind-blowing purchase,Good product this price Value for money...
Flipkart Customer,5,Great product,Very nice 👌
Flipkart Customer,4,Delightful,Very nice product and sound quality is very good 😊
Purnendu Kumar,3,Nice,In the ear it fitted design is good call voice is good but music lovers not crystal sound.
Flipkart Customer,5,Best in the market!,Awesome
Flipkart Customer,4,Value-for-money,Ok
Kishor Dhole,5,Best in the market!,Osm sound qualityBass OsmDesign better than others earbuds Best earbuds i am seen...
Avinash  Sahani,5,Perfect product!,"Good product and high quality, better battery performance"
Krishna JC,5,Super!,Good product 👍
